stage,config,axis,prer,r,postr,label,model,device,dim,weights,MRR,MRR_prompted,Hit@1,Hit@5,File@5,accuracy,judge_similarity,judge_correctness,judge_completeness,judge_faithfulness,judge_mean,n_chunks,parse_time_sec,rerank_time_sec,llm_calls,elapsed_sec,fixed_pipeline
4-1_pre_retriever,hyde_rrf,,,,,,,,,,0.7159444444444444,,0.6466666666666666,0.8066666666666666,0.9166666666666666,,,,,,,,,,300,34.97850298881531,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,multi_query_angle,,,,,,,,,,0.6434444444444446,,0.5466666666666666,0.7866666666666666,0.9166666666666666,,,,,,,,,,300,62.814971685409546,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-2_post_retriever,upskyy-ko-reranker-8k,,,,,,upskyy/ko-reranker-8k,amd_gpu_gfx1151,,,0.7343333333333335,,0.68,0.8133333333333334,0.9233333333333333,,,,,,,,,346.79925179481506,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,qwen3-reranker-0.6b,,,,,,Qwen/Qwen3-Reranker-0.6B,amd_gpu_gfx1151,,,0.7241111111111111,,0.6633333333333333,0.8066666666666666,0.92,,,,,,,,,193.4843623638153,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,modernReranker,,,,,,naver/modernReranker,amd_gpu_gfx1151,,,0.5178333333333333,,0.41333333333333333,0.6866666666666666,0.9133333333333333,,,,,,,,,176.2533621788025,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,gte-reranker-modernbert,,,,,,Alibaba-NLP/gte-reranker-modernbert-base,amd_gpu_gfx1151,,,0.5317777777777778,,0.43,0.7,0.8866666666666667,,,,,,,,,416.41531801223755,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,pixie-spell-reranker,,,,,,telepix/PIXIE-Spell-Reranker-Preview-0.6B,amd_gpu_gfx1151,,,0.327611111111111,,0.21,0.53,0.8133333333333334,,,,,,,,,764.0040574073792,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,ktds-vue-code-search-ko,,,,,,SeoJHeasdw/ktds-vue-code-search-reranker-ko,amd_gpu_gfx1151,,,0.7439444444444444,,0.7,0.81,0.92,,,,,,,,,347.39027738571167,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,naver-xprovence-bgem3-v1,,,,,,naver/xprovence-reranker-bgem3-v1,amd_gpu_gfx1151,,,0.049555555555555554,,0.023333333333333334,0.10333333333333333,0.64,,,,,,,,,347.40692591667175,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,bge-reranker-v2-m3,,,,,,BAAI/bge-reranker-v2-m3,amd_gpu_gfx1151,,,0.7488333333333332,,0.7,0.8166666666666667,0.9233333333333333,,,,,,,,,345.25206112861633,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
4-2_post_retriever,kkresearch-bge-ko-finance,,,,,,kkresearch/bge-reranker-v2-m3-korean-finance,amd_gpu_gfx1151,,,0.5587777777777779,,0.4633333333333333,0.7066666666666667,0.89,,,,,,,,,346.0968208312988,,,"PreR=baseline, Hybrid 3:7, top-20 → rerank → top-5"
